Timestamp,"If a million dollars could hit your bank right now, would you bark every time you meet someone new for the rest of your life, and you cannot explain why?",Does pineapple belong on pizza?,Should oat milk become the default choice when ordering coffee latte?,Can birds fly?,Do you like Michigan's colors (maize and blue)?,Is NYPD better than Joe's Pizza?,Do you like ice cream?,Do you like to go to Michigan football games?,Do you like Italian food?
2/2/2026 16:47:49,No,No,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:02,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:06,No,No,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:11,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:12,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:13,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:48:14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:48:17,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:17,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
2/2/2026 16:48:20,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
2/2/2026 16:48:24,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
2/2/2026 16:48:25,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:48:28,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:28,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:29,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
2/2/2026 16:48:33,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:48:34,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:48:35,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:36,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
2/2/2026 16:48:37,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:48:39,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:48:44,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
2/2/2026 16:48:44,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:48:47,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:48:51,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:48:59,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:49:16,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
2/2/2026 16:49:18,No,No,Yes,Yes,Yes,No,Yes,No,Yes
2/2/2026 16:49:52,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:50:13,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2/2/2026 16:50:20,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:50:37,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2/2/2026 16:51:22,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes